category,FB_amtPost,IG_amtPost,TT_amtPost,YT_amtPost
Automobile,149606,4390,43,8772
Beauty & Fashion,126665,89380,38694,7506
Book & Movie & Art,74517,13355,23564,2168
Education,61291,7899,5179,4524
Finance,189247,5493,15353,6376
Food,421728,43797,10650,13605
Gaming,100931,3037,1797,39643
Health,101885,24094,1719,5866
Mom & Baby,95176,6674,2713,3394
Non-Profit Organization,24018,745,5439,79
Other,1377,330,96,674
Pet,35601,4016,2462,1279
Retirement,18141,1527,910,3982
Tech & Science,76116,3966,45557,9093
Travel,372731,14120,10116,2685
Variety,375343,82398,28200,10759