category,FB_engage,IG_engage,TT_engage,YT_engage
Automobile,120702864,12417824,19329,6063780
Beauty & Fashion,109934697,151093290,52440189,6520469
Book & Movie & Art,201246491,10876866,24431343,196949
Education,61602819,9006087,16585287,8777053
Finance,97240772,61212,7838762,8374548
Food,415255172,34188749,1513185,16048097
Gaming,99256165,803699,1015040,64426046
Health,121588257,20956873,8957717,32528882
Mom & Baby,131312594,27523410,33385,2452637
Non-Profit Organization,12283246,117730,2857647,31836
Other,9859022,489780,1533,6370053
Pet,240030328,17679977,1598507,166067
Retirement,20817028,913762,234365,2289533
Tech & Science,21499099,1222663,110245443,8146898
Travel,183774390,1624142,7819249,1645676
Variety,982937864,74096145,6632011,28195020